昵称,性别,地区,评论,点赞
WindcityDerrick,保密,安徽,说实话名字也很帅,1
为你er执着,保密,上海,中国有直10ME 涡轴9G单台功率也到了1500千瓦，和美军类似不用换装备！,0
咖啡奶不加冰,保密,河南,不是只有AH64D才有长弓吗,0
必互关点赞必互赞,保密,安徽,现在武装直升机发展基本停滞了，基本上是小修小补的改进。无人机快把武装直升机的战场定位抢完了，还便宜，不怕损失,3
cloud丿云,男,广东,现在是超视距，常规逐渐退出主流。,0
威天行,男,河南,其实早就该换代了，阿曼奇被砍了，不然阿曼奇都该换代了[嗑瓜子]近几十年来没有够档次的对手,0
膝门搭棺人,保密,广东,自愧不如就完了[妙啊],0
Jason_Nan,保密,中国台湾,我们旁边那好多，你们可快来拿走吧，我要去成都吃小吃[鼓掌],0
昵称,性别,地区,评论,点赞
奇点131,保密,河北,科曼奇才是最强武直吧,0
物非贰零贰叁,保密,江苏,阿帕奇再牛，有啥用，我们有吴京更有战狼[OK],0
御龙皇朝的皇帝,男,内蒙古,现在最先进的型号是什么？,0
我有时其实,保密,广东,这个真离谱 目前没有做得到的,0
厂办彪哥,男,山东,我先来，颜值高=实力强,0
青铜狮子114,男,山西,现在我们也有了这么好的东西了，感慨,1
衣郡,保密,广东,第一次见到还是小时候玩gta。,0
溜了溜了2223,保密,广东,那为什么现在坦克和直升机没有全部退役，为什么没有采用你这样先进的的军事理论呢，军事专家？,0
回家1122,男,贵州,最牛逼的，没有之一,1
洪涛QHJG,男,北京,1架阿帕奇可以买3架F35,0
中份薯涤,保密,河北,真正的物联网技术,0
Nemesis1161,保密,浙江,武德充沛[支持],0
可乐百事哈哈,保密,江苏,华约不是在东德吗？,0
律师非法师,男,北京,阿帕奇，F22，鱼鹰，这些没有外星人的科技支持，我是不太信的,0
小陈子爱长沙,男,广东,如今已经是无人机的天下了,2
钢豹3000,保密,广东,罪恶都市最爱载具,0
弄潮潮潮儿,保密,广东,中国的武装直升机叫啥？,0
卡拉什尼塔科夫,男,北京,阿帕奇可太帅了,0
Mark_Eon,保密,重庆,封面太帅了,0
卑微霖霖在线寻人,保密,河南,k52讲讲呗,0
昵称,性别,地区,评论,点赞
黎明-BI9AHU,男,陕西,玩2042，直升机真难操控,0
jducy66,男,北京,三连咯该更新了[doge],2
拓跋小爷,男,新疆,阿帕奇这造型就牛！,1
炊事员卡布达,男,四川,747是半个世纪前的产物。,0
MiIlo,男,广西,下期怎么说🙃CH-47[doge],1
半吊子晔,保密,广东,无人机的出现直接忽略,0
绝对的ikun,保密,甘肃,1984？哎呀，这太离谱了,1
王大力力,男,新疆,该更新了[doge],0
格洛克19-2,男,广东,局座最喜欢的直升机,0
沒川内裤,保密,四川,排位赛停了，要不然版本更新很快,1
旧岁与清梦,男,重庆,会经常更新里面的装备,0
美国面条,男,河南,讲讲黑鹰,0
悠声绿茗,保密,甘肃,把标题中的问号去掉。,0
一握砂,保密,浙江,越帅的武器越厉害,0
糕冷富二代,保密,江苏,还是有很大差距,0
gp-----02,保密,江苏,无人机终将取代直升机。,0
威狗非狗,保密,福建,很帅,0
春风得意风生水起,男,河南,别人没有配套设置得有实力打掉防空才能用,0
谁用了银扳指,保密,江苏,sr71,0
吾心何在,保密,广东,这机炮打的是贫铀弹吗？,0
昵称,性别,地区,评论,点赞
小新314,保密,广东,坦克杀手现在不是无人机？,0
EDG竞技电子俱乐部,保密,湖北,好像还有蜂鸟大黄蜂？,0
咖啡奶不加冰,保密,河南,不是说阿帕奇独臂战士，真的假的[吃瓜],0
Solarrain27,保密,河北,这么高级的飞机，有点烟器吗,0
弦歌天镜,保密,湖北,武装直升机能干的活无人机也能干,0
香草可乐奈斯,保密,浙江,先行者和抄抄者的区别,0
明尼苏达汪汪队,男,山东,百公里几个油[doge][doge][doge],0
CharlesG-,保密,广东,所以汶川那年，到底是不是只有阿帕奇能去救人，其他直升机顶不住？,0
幺幺随风,保密,湖南,无人机表示不服[2023],0
生存进化之卢西奥,保密,浙江,毒刺能把阿帕奇打下来吗,0
奇卡力哟,保密,浙江,九二式步兵炮[脱单doge],0
李奶奶的佳美娜,保密,广东,燕双鹰表示不服,0
风听风_jn,保密,山东,虽然但是，还是无人机更高效，阿帕奇虽然好，但是太太太太贵了，并且有两个大活人儿，成本太高。,0
康尼查罗歧化-,保密,安徽,想看黑鹰直升机！,0
雷帝嘎嘎2022,保密,陕西,为什么直升机能倒立飞？,0
小玛丽前驱车,男,湖南,真的牛批[喜欢],0
fharrygo,保密,吉林,真漂亮呀[脱单doge][脱单doge][脱单doge],0
熊熊CuteBaby,男,江苏,唉，1984年[撇嘴],0
我们常威根本不会武功,男,四川,黑鸟[doge],0
黑灰白彩虹,保密,青海,飞狼,0
昵称,性别,地区,评论,点赞
小肖ffff,男,重庆,以前的同学有个华为销售，日常就是黑小米然后猛宣传nova11se[妙啊],257
深海の秋刀鱼,保密,辽宁,大叔喜提新机,31
龙呀小个霜,男,江苏,特意加了一台买不到的手机不让某手机太尴尬，挺好[doge],2657
Phoenix-与问天下,男,吉林,这个11SE正儿八经售卖的产品，红米这种运营商定制机，有没有比较了解的兄弟，其他厂商有吗？,2984
寒霜之学士,男,山东,古老的架构，古老的核心，崭新的手机,419
ingDreams,保密,广东,1999 甚至不让k70e上场[笑哭],801
阿月萌萌哒,保密,浙江,[doge]据我所知有个机子叫k70e，也是1999，巨龙敢拿来对比吗[doge][doge],1004
Zhiidao,保密,重庆,不懂的人真的太多了!!!,415
守宇神,男,北京,我的朋友你终于当了一次英雄[脱单doge],299
bili_43020856993,保密,广东,点名表扬,231
落雨青沙尾,保密,山东,搜索的红米，词条推荐友商太典了,4
Balabala蹦擦擦,男,四川,诺 走路上新开业的移动营业厅发的,752
土豆子关瑞生,保密,吉林,去女朋友家提亲，给丈母娘买nova11SE   给老丈人买红米,31
luckysrince,男,河南,连合约机都比不过，华为真初生,80
阿森纳ArsenalFC,保密,广东,我只能说很符合我对🌸粉的想象🤣🤣🤣🤣,29
千辰flx,男,河南,这就是我们华为的目标用户啊，你们其他厂商有这样的目标用户吗？[兔年吉祥東雪蓮_哈哈],20
火红色之肤,保密,未知,"这下真遥遥领先！
王者和原神起飞了！",43
月亮星Lunar,男,山东,华为是真在卖，红米是真在送，还怕你在官网真买了赶紧给你退了，同样都是垃机，一个怕你不买，一个怕你真买了。,40
大妖精你服了没,保密,四川,系统甚至找不到同类型的视频推荐给我[doge][抠鼻],24
认同愚者,女,江西,红米的一般平台是买不到的  是个标价高的合约机,78
昵称,性别,地区,评论,点赞
清纯流氓兔,保密,江苏,强的不是飞机，而是每次推出的技术和理念都走在了时代前面，后来者只能模仿或者借鉴其理念，而别人又在不断积累迭代越走越远。,1043
福克斯咕咕,保密,上海,"武直的作用被夸大了，只有在取得制空权的基础上才能最大限度地发挥武直的作用。美国在越南战场有制空权，美国也有能力在其他局部战争中取得制空权，这才能体现武直的价值，否则只能成为空军和地面防空火力的靶子，今天还多了一个无人机对手。
另外对于反坦克，从平面走向立体，从有人走向无人乃至人工智能是大趋势，所以传统武直必将迎来变革，以后估计是一个地面基站或者空中基站通过若干个中继平台进行远程指挥，然后用大量AI无人机执行蜂群战术。战术层面由AI自行决定执行方案，指挥只负责发布战略层面的命令。",116
心会乱飞,男,安徽,局座以前有一个系列视频提到了F22 B2都没那么激动，但是对阿帕奇赞不绝口[笑哭],971
eric17102,保密,中国台湾,今天我家上空剛好有一架  平常都是ah-1比較多 [妙啊],453
sssgoii2,男,浙江,"因为重型武直只有美俄，俄ka52另辟蹊径 mi28nm就是阿帕奇司基
所以今天ka52被乌天线宝宝揍下来了就是长弓阿帕奇最强
明天阿帕奇被老农打下来就是ka52最强",488
木卫三的故事,保密,广西,美系装备真的帅,463
同济三版抄七遍,男,广东,这玩意确实可以，咱gf需求里也有重型武直，现在wz10虽然战场态势感知能力还可但火力输出和航程是避不开的有提升空间的点，此外重型运输直升机也是空缺，像大种马那种一样馋，这些是明显的空缺，但也不必一刀切二极管，我们本来就主要差部分武器装备还是总体装备规模，这些一直都是缺点，但我们还是在众多领域取得巨大突破甚至比肩鹰酱，包括空j的j20，16D，10c，kj500，海j的055，052DL，054B等等，大可不要二极管，少个重型武直就没有希望了，或者有了j20A了就无敌了目中无人了，本来就讲求实事求是，强的地方肯定不足的地方努力，想不明白哪来那么多二极管极端得很还能唱出什么灯塔的往死里唱衰往死里舔的，真是离谱,118
bili_33636763267,保密,广东,实战检验过 确实好用,111
阿一゜,保密,河北,现在查打一体无人机的兴起会影响到武装直升机的地位吗？,28
一份猪排饭,保密,河北,难以想象，这东西居然是好多年以前造出来的，放到今天都丝毫不过时，甚至还依旧很先进,13
原谅我一生热爱难回头,男,广东,好像坦克的天敌就是武装直升机,46
今日乐子,保密,山西,up视频做的真不错，就是弹幕评论没法看,96
我的老婆邱大脸,男,湖北,虚假的坦克杀手：阿帕奇  真正的坦克杀手：民用无人机绑反坦克手雷[脱单doge],403
全球程序员,保密,浙江,阿帕奇和F22最先进的地方就是那一堆电子设备，大量使用了FPGA，简直外星科技。雷达、火控、头盔、航电组成的系统可以眼睛看哪就瞄准哪，还有头盔看到的画面就像白天一样清晰。这些都是FPGA实现的，可以一键自毁，可以不断升级改进[doge],20
Mr_影言,男,广东,正视差距,136
红男爵kk,保密,北京,几十年了阿帕奇依然是世界上最优秀的武装直升机，我国的武直十被誉为可以与阿帕奇一战，虽然我不知道结果如何，不过有一点阿帕奇的战绩斐然，武直十呢？再具体的说我国的空军武器呢？那个经过战场考验了？所以不要盲目自信，还是要虚心学习,9
理中客集团,男,北京,阿帕奇他到底是复杂呢还是简单呢?我脑子中萦绕的问题就是阿帕奇现在这个状态就是直升机最牛最精简的状态了吗?升级的可能性在那个方向?,13
十人九慕始终如一,男,广东,"伊拉克沙漠风暴开端没说清楚
撕开伊拉克防空缺口的不止阿帕奇
而是由电子对抗版本的种马领衔，全程电子压制，超低空夜航，领航到位，再由跟随的阿帕奇完成打击任务
撕开防空缺口后，也是由F111领衔空中打击联队全面打击。
核心力量是有重型电子对抗版本的种马，重型武直阿帕奇，电子战F111，才完成了精确，科技压制，碾压的空中联合打击任务，且战损为0。",19
PixelDevil,男,河南,最喜欢的武直，DCS里喜欢飞阿帕奇胜过固定翼,12
昵称,性别,地区,评论,点赞
是大枫树呦,保密,浙江,阿帕奇真的印象深刻。小学时候玩虐x原型，里面有两种直升机，其中就有三种武器的阿帕奇。无限弹药的机炮，5发跟踪导弹，进百发的火箭弹。不要太爽。,27
平行进口车手册,保密,天津,阿帕奇E 我还以为是新能源阿帕奇,11
二氯亚砜_,男,日本,因为武装直升机的首要猎物还是坦克，在坦克有决定性的进步之前武装直升机就没有进一步发展的方向。,1
疯猪的卡卡,保密,四川,40年前的产物，现在还有很多功能达不到，正视差距。,2
躺着中枪,保密,陕西,武直只适合甜地的时候用，地面稍微有几个单兵地对空都不能这么自在。,0
thalcave,男,北京,这飞机我初中时间第一次见，太特么帅了！那时候还总看兵器知识，有一期还有个占两页的大图爽歪歪！[支持],1
星辰starspots,保密,吉林,"直升机对近地防空确实是菜，不过阿帕奇本身确实耐艹的离谱，但对人员逃生效率，个人觉得，还是毛子的弹射座椅好用[doge]。
还有就是，是因为加装了长弓雷达才叫长弓阿帕奇的？",2
脑甜儿,男,山东,既然有人非要唠无人机，那么MQ-25呢？天下可有出其右者？,3
李东君Pro,保密,山东,感觉同时出动5架查打一体无人机比出动一台阿帕奇还经济便宜[大笑][大笑][大笑],6
魔卡少女郭德纲,保密,青海,正儿八经地问一下，如果阿帕奇是 10 分，咱们的武直十是几分？,2
没过期的纯牛奶,女,北京,现在的无人机是不是能够更廉价的完成对等任务，阿帕奇会不会跟当年的诺基亚一样，直接被苹果降维打击,1
sang06,保密,上海,A10在逐步退役了。精切打击有无人机，覆盖有其他的炸弹卡车。高端局 肩扛都能弄死他，低端局 单单靠机炮 没空间给他混日子了！,1
jirara大尉,男,北京,有没有老哥鉴定下这个是不是阿帕奇？去年瞅见的[妙啊],0
机车超人qwe,男,河南,不能妄自菲薄  也不能轻视对手   至少老美的家伙事  都是经过实战检验的  不要说对手都是弱国   再好的武器也是需要战术配合的  抛开武器优势    经常打仗的国家  士兵的实战能力都不会太差,1
游戏渊,男,湖北,我记得 其实阿帕奇这个名字就很地狱了,17
桑轩就是桑佳言,男,河南,全世界最帅的武装直升机！老美在审美这一块，眼光毋庸置疑！,1
似水11,保密,浙江,阿帕奇的替代者早就出现了，科曼奇，具有隐身能力,5
哇哈哈12312312,保密,广东,我觉得现代战争，武装直升机和坦克都是活靶子，如果坦克能到地方，武装直升机也能到，如果坦克不能到的地方，武装直升机也基本到不了，因为人家有AT导弹，自然也有AA导弹，反而无人机更适合当下非全面战争的武器,1
会呀呼叫的猫,男,四川,直20，ka52，AH64他们对比各自的优缺点是什么[思考],0
生存主義,男,辽宁,大部分武直不都是4个挂点吗？？？挂载能力有啥区别吗,0
昵称,性别,地区,评论,点赞
玄猶門,男,中国香港,1999可以買紅米K70E，應該用紅米K70E做對比！！！,1752
Zhiidao,保密,重庆,不懂的人真的太多了!!!,415
晚晴图画,保密,江苏,华为只有P和mate系列值得购买，我用华为用了6年了，从上学就开始用，以前荣耀和华为没分家前，荣耀可以说是华为的性价比，分家后华为只推荐p和mate系列，华为众所周知是用心做高端用脚做低端，我给家里人也是只买这两个系列。红米可以说挺不错的，红米真正贯彻了让每个人享受科技的红利，我买的红米的备用机，几百块钱的手机竟然有红外，日常使用也没毛病做为一台百元机可以说很称职了。华为的系统和品牌塑造很厉害，我换过苹果，魅族，三星等等各种牌子的手机，还是华为用的最舒服，我也只是买他的产品，好的产品就称赞，不好的产品就骂。我是消费者不是厂家的股东，产品选择自己认为对的最重要。,601
素雨星辰,保密,黑龙江,"小米（红米）还是有一些相对不太性价比的手机，比如civi系列，还有一些什么极速版（12极速是778G的芯片）、青春版之类的，小米之家或者小米商城都有售。这些手机和note系列和k系列不一样，可能是主打线下女性赛道或者均衡的水桶赛道，不过是较低一些的水桶。年初k60退三百块，我妈还一直用我们退下来的小米手机，就给她换了一个极速版的，本来想搞一个11t的，但用不了劵，她俩看了看最后选了12极速版，和需求正合适，她的需求就是微信、浏览器总裁小说、快手和全民K歌。
特别想吐槽一下，civi系列和极速版一类的设计师薄纱k系列的设计师，civi3比k60好看的不要太多",216
大疆技术支持,男,河南,务必提醒一下红米这个是充话费送的合约机，价格1999没有参考性,307
我真没有糖,保密,浙江,我在想8Gen3比这俩性能强多少，有没有大佬告知的[微笑],191
蝉眠眠啊,保密,湖北,建议测评一下畅享70，1399，720P水滴屏，麒麟710A，这个才是今年的神机,362
Phoenix-与问天下,男,吉林,这个11SE正儿八经售卖的产品，红米这种运营商定制机，有没有比较了解的兄弟，其他厂商有吗？,2984
龙呀小个霜,男,江苏,特意加了一台买不到的手机不让某手机太尴尬，挺好[doge],2657
古城の余曦あ,男,吉林,ov其实也有不少这种，不过今年这俩太火出圈了可能，你甚至能在v身上看到更逆天的1500档的micro  USB充电口，对你没听错，micro USB充电口。,194
大飞,保密,澳大利亚,能把千元机的配置卖上1999，本身也是一种“遥遥领先”,332
强迫症爱吃鱼,保密,福建,把稻草卖出黄金价，也就华为了，另外为难巨龙了，为了给华为挽尊特地找了台办卡免费送的手机来对比[笑哭],84
第13个赵emo,男,甘肃,最后一集，大家且看且珍惜[藏狐],154
羽衣下江南_,女,江苏,最大胆的一集,679
难忘霜,保密,江苏,哎，我这手机进化速度有点慢，希望花粉们可以教教怎么加快进化速度,57
筱久久久z,男,甘肃,不敢拿k70e比是怕被冲吧,403
ingDreams,保密,广东,1999 甚至不让k70e上场[笑哭],801
小肖ffff,男,重庆,以前的同学有个华为销售，日常就是黑小米然后猛宣传nova11se[妙啊],257
鹅卵石firm,保密,河北,运营商定制，充话费送的,257
閃刀姬丶零衣,女,甘肃,我想起高兴的事情，没绷住[偷笑],102
昵称,性别,地区,评论,点赞
小奶莓的心臟吖,女,山东,军武盲问一下[哦呼]为什么很多飞机舰队都是服役几十年的 b2 b1b b52这些造料和技术没有新改进的吗,4
billboard100,男,江苏,治安战专用，这个缅甸需要，但凡和正规军对战这个就是个军功章，升官发财机,0
bili_95908542254,保密,四川,黑鹰坠落那个是不是就是阿帕奇？,2
热心市民-蔡先森,男,广东,国内哪架对标[思考],2
天堂使者1111,保密,上海,所以，我们的J20造出来不去实战检验下吗？,1
后来塔,保密,湖北,天天最强，这最强那最强，宇宙最强吧,0
GunsNRosex,男,新疆,"ah64不就是黑鹰吗
黑鹰难道是阿帕奇？",0
磁约束老司机,男,广东,讲讲女武神？可惜没有被用起来，不知道有没有参加过实战,3
先天霸主,保密,山东,毫无疑问，阿帕奇就是地球目前最强的直升机类型,0
Fyodorovich,保密,河南,我觉得ka52有话说[doge],1
赛里斯之锤,保密,安徽,攻击机之所以逐步消失最主要就是武装直升机的出现（替代性）[笑哭],0
渴坏了我,保密,湖南,肯定中国媒体说还没无人机好 但是想过没 如果别人把这个做成无人驾驶昵,0
年与時驰,男,河北,不知道阿帕奇直升机怕不怕火箭筒,1
Swiftie笙,男,新疆,阿帕奇外观真的非常科幻,4
YSIRBILIBILI,男,广东,PLA什么时候买几架？[doge],1
辣锅要涮藤藤菜,保密,北京,下一期能讲枪骑兵吗,2
黑暗与深邃,保密,河北,以后用不到了 无人机就够了,1
乙方的二次方,保密,浙江,我记得我以前在某一篇杂志社看见过将阿帕奇称为飞行的棺材，不知道是真是假的,0
俄站永不变质,保密,广东,武直10:嗯？,0
安安安仔_,保密,山东,我觉得是卡52[doge],0
昵称,性别,地区,评论,点赞
玄猶門,男,中国香港,1999可以買紅米K70E，應該用紅米K70E做對比！！！,1753
Zhiidao,保密,重庆,不懂的人真的太多了!!!,415
我真没有糖,保密,浙江,我在想8Gen3比这俩性能强多少，有没有大佬告知的[微笑],191
晚晴图画,保密,江苏,华为只有P和mate系列值得购买，我用华为用了6年了，从上学就开始用，以前荣耀和华为没分家前，荣耀可以说是华为的性价比，分家后华为只推荐p和mate系列，华为众所周知是用心做高端用脚做低端，我给家里人也是只买这两个系列。红米可以说挺不错的，红米真正贯彻了让每个人享受科技的红利，我买的红米的备用机，几百块钱的手机竟然有红外，日常使用也没毛病做为一台百元机可以说很称职了。华为的系统和品牌塑造很厉害，我换过苹果，魅族，三星等等各种牌子的手机，还是华为用的最舒服，我也只是买他的产品，好的产品就称赞，不好的产品就骂。我是消费者不是厂家的股东，产品选择自己认为对的最重要。,601
大疆技术支持,男,河南,务必提醒一下红米这个是充话费送的合约机，价格1999没有参考性,307
Phoenix-与问天下,男,吉林,这个11SE正儿八经售卖的产品，红米这种运营商定制机，有没有比较了解的兄弟，其他厂商有吗？,2984
素雨星辰,保密,黑龙江,"小米（红米）还是有一些相对不太性价比的手机，比如civi系列，还有一些什么极速版（12极速是778G的芯片）、青春版之类的，小米之家或者小米商城都有售。这些手机和note系列和k系列不一样，可能是主打线下女性赛道或者均衡的水桶赛道，不过是较低一些的水桶。年初k60退三百块，我妈还一直用我们退下来的小米手机，就给她换了一个极速版的，本来想搞一个11t的，但用不了劵，她俩看了看最后选了12极速版，和需求正合适，她的需求就是微信、浏览器总裁小说、快手和全民K歌。
特别想吐槽一下，civi系列和极速版一类的设计师薄纱k系列的设计师，civi3比k60好看的不要太多",216
蝉眠眠啊,保密,湖北,建议测评一下畅享70，1399，720P水滴屏，麒麟710A，这个才是今年的神机,362
龙呀小个霜,男,江苏,特意加了一台买不到的手机不让某手机太尴尬，挺好[doge],2657
锂狗,男,云南,带r的是合约机，也就是充多少话费送你个手机这种，12rPro的话应该只需要1200左右的话费，充1200送你个手机，话费实际到账1000，差不多就是这个意思,8
古城の余曦あ,男,吉林,ov其实也有不少这种，不过今年这俩太火出圈了可能，你甚至能在v身上看到更逆天的1500档的micro  USB充电口，对你没听错，micro USB充电口。,194
大飞,保密,澳大利亚,能把千元机的配置卖上1999，本身也是一种“遥遥领先”,332
第13个赵emo,男,甘肃,最后一集，大家且看且珍惜[藏狐],154
强迫症爱吃鱼,保密,福建,把稻草卖出黄金价，也就华为了，另外为难巨龙了，为了给华为挽尊特地找了台办卡免费送的手机来对比[笑哭],84
羽衣下江南_,女,江苏,最大胆的一集,679
筱久久久z,男,甘肃,不敢拿k70e比是怕被冲吧,403
鹅卵石firm,保密,河北,运营商定制，充话费送的,257
小肖ffff,男,重庆,以前的同学有个华为销售，日常就是黑小米然后猛宣传nova11se[妙啊],257
难忘霜,保密,江苏,哎，我这手机进化速度有点慢，希望花粉们可以教教怎么加快进化速度,57
閃刀姬丶零衣,女,甘肃,我想起高兴的事情，没绷住[偷笑],102
昵称,性别,地区,评论,点赞
蝉眠眠啊,保密,湖北,我这边是联通运营商办两年的49元话费套餐，再买个宽带送一个红米note13r的标准版[笑哭],1145
ingDreams,保密,广东,1999 甚至不让k70e上场[笑哭],801
汤米-i,男,江苏,放个合约机让某11se不那么尴尬是吧[笑哭],156
认同愚者,女,江西,红米的一般平台是买不到的  是个标价高的合约机,78
CHN-Acid,男,江苏,ps：小米商城上架最主要的原因是方便运营商定制机找售后,19
柒寒Hio,保密,江苏,"面对华为：他的旗舰很猛。
面对红米：不是为了卖的。
正因为你们的宽容华为今后这种机不会断更的[调皮]",26
桐花旧枝丶,保密,陕西,据说已经卖出去70万台了，一台利润1500，已经赚了十个亿了，不愧是华为,32
在下北上,保密,河南,nova11其实还行，用的挺舒服的,29
心有暖阳何惧人生荒凉,男,福建,我去线下销售主推nova11se，去小米之家店员给我推荐K70，note12Turbo,11
深海の秋刀鱼,保密,辽宁,大叔喜提新机,31
bili_301138377,保密,四川,@水东揭秘 来看看艺术品[傲娇],14
为师就是这么低调,男,浙江,已经买了，鸿蒙4.0很流畅,9
破防小鬼别改昵称,男,河北,已经很给面子了，都没把12turbo拿出来比比[嗑瓜子],256
学法的小破孩儿,男,重庆,这不巧了嘛，还有俩[滑稽][滑稽][滑稽],39
寒霜之学士,男,山东,古老的架构，古老的核心，崭新的手机,419
嗜睡神兽,保密,河北,红米这一台就是卖给运营商，类似充话费送手机那种，连发布会和官微消息都没有。,149
小米11垃圾,保密,安徽,你们的还没有进化吗 我的已经进化了,20
万众瞩目的斗子,男,广东,运营商定制机的话，最终的售出价格是运营商自己定的还是红米定的?,26
守宇神,男,北京,我的朋友你终于当了一次英雄[脱单doge],299
哎呦妮甘麻,保密,河南,delta排列巨拉胯，我之前买的小新padPro2021，不懂，后来了解才知道是delta排列，2.5k屏幕比1080p还糊，但是很多数码up测评的时候都没有提到过，,113
昵称,性别,地区,评论,点赞
couldfish,保密,重庆,我只说一点，一个是在线下店铺里销售力荐，另一个是办套餐送的合约机而且至少他们遇到的销售不推荐也无法再在官方渠道购买。,225
阿月萌萌哒,保密,浙江,[doge]据我所知有个机子叫k70e，也是1999，巨龙敢拿来对比吗[doge][doge],1004
三组3号,男,河南,不说其他牌子，敢不敢把nova6拉出来比比，我记得好像都是1999来着[doge],22
凝-风,男,江苏,永远等不到的尽请期待,19
好昵称让猪抢了,男,浙江,诺蛙打了个电话，CPU：真是一场酣畅淋漓的性能释放。[吃瓜][吃瓜][吃瓜][吃瓜],67
5247_,男,广东,别人的680可能只是块破石头，而华为的680却把它打磨成了艺术品！,15
菠萝长树上鸭,保密,广东,还好叠个13R，只评11  se，怕你你被冲烂,79
豁嘴牛鼻朱旺,男,湖北,还是那句话，华不买低米不买高[吃瓜]这个机器的价值就是华为想测一下自己的标值多少钱，但是这玩意居然卖了70w台真的离大谱。我反而希望买的都是老大爷，他们最多就打个电话刷个视频至少不会被芯片性能影响到。让一个打游戏不懂手机的学生党买到就凉凉了,12
Johnny-ZS1122,保密,河南,vivoy36也不错，天玑700，720p屏幕，15w充电，没有陀螺仪 512g卖2399[doge][妙啊],22
审核是个只因,保密,江苏,打不过合约机绷不住了[笑哭][喜极而泣],10
公路车发烧友mmp,保密,上海,这么看还好，我用了一年多的荣耀magic4Pro，gen1火龙，王者也只能60帧玩，120帧的话大概一把不到自己就降频了，然后锁六十。,6
脑瓜疼也想不出ID,男,广东,华为这个随便找家店都能买到。。。红米这？？啊这哪里有卖来着[脸红],13
世界上真有魔法吗,男,云南,"Nova11se是华为2000价位唯一选
note13rpro是小米2000价位最拉机型",10
芣苢君,保密,贵州,最大胆的一集,90
寒霜之学士,男,山东,如果你狠一个人，他有两千块钱，那你就让他买一台nova11se；如果有四千，就让他买两台，剩下的2块钱，捐给华为就可以了。,25
东宝233,保密,贵州,778g都慢，我劝你们千万不要买11或者11se,13
大妖精你服了没,保密,四川,系统甚至找不到同类型的视频推荐给我[doge][抠鼻],24
猫咪老师WS,男,河南,华为优化好，有鸿蒙系统能用五年，不亏,5
通-凯,保密,广东,两款680销量遥遥领先,6
昵称,性别,地区,评论,点赞
薛定茂的鹅,男,山东,建议出一期k70E对比nave11se[doge],4
SHHSSHHS加油,保密,湖南,虽然但是，有些黑子注意，红米n13r是合约机，官方不卖，为了好看定价1999，比如你买东西送赠品赠品本身不单独卖，明明赠品10元，标价100，好看，和nova11色se完全不是一个性质,3
sunx404,女,北京,为什么不用K70E比较？？非得拿一个合约机来比较？,4
阿尘cheng,男,浙江,有没有一种可能 两台都是合约机 华为的这台 上官网和其他平台 就是为了给合约机做对比  比如官网售价2000的nova11 我们这只需要预充值500就免费送 这种手机一般都是给老年人当老年机用的 或者给小朋友用又不想他玩游戏影响学习  普通人不会自己花钱买这个配置的,2
a10ghc,保密,江西,喷nova我理解，怎么一堆人喷9000s啊？,2
千心千意,保密,辽宁,充话费送的吊打直售1999的，很符合我的印象[doge],1
阳光在逛马路i,保密,广东,我有个问题哈，如果华为换上k70e的处理器的的话，那么价格多少才合适？,4
東京帥哥_,男,中国台湾,我買realme[傲娇]，性價比更高,4
魔术猪,男,北京,"红米刚悄悄放出这个13R的时候我差点粉转黑，还好后面及时撤回了，可见小米自己都觉得这件事丢人[笑哭]
另外一边……就不提了[doge]",4
简单爱先生,保密,河南,买华为就不是冲着性能去的,8
阿海海Shinkai,保密,安徽,红米Note13R Pro是合约机吧，1999又不是零售价，是合约话费金额，这俩有什么可比性,4
青柠缤治,男,广东,小米1999不仅有note 13r，还有k60 k70e等等这样的正常机器。那么华为1999除了11se还能买到其它的么？,5
超级星际,保密,陕西,为什么不用note13pro＋比？害怕降为碾压？奥，忘了，13pro+是1899[脱单doge],10
Harmony_Liang,保密,河南,我的视频能证明，11se搭配鸿蒙4，动画真的能吊打8gen2等机型！[doge],4
曲率丶,男,广东,非要选一台，我要nova,5
薯片味儿薯片,男,辽宁,想买nova11se我的建议的花1000买一台已经大跳水的note12turbo，再捐1k块给华为，这样两全其美，你用到了这个价位比较不错的手机，华为赚了1k，WINWIN[doge],4
亿颗鱼子酱,保密,广东,1999，都能上个天玑8300U，光影猎人800+400，90w快充，2k屏了[吃瓜],8
-肥-宅-快-乐-水-,男,马来西亚,用了一年半还是非常流畅[doge],2
再生壁虎,男,吉林,感觉华为那个还可以，拿出来很有面子,5
轮回剑客,男,江苏,我爸之前手机坏了，营业厅搞了个12R，原来套餐基础上每个月加1元赠送，我个人觉得还可以，当然我后来帮他买了个新的手机,5
昵称,性别,地区,评论,点赞
colorful414,保密,四川,冷知识，华为的线下机坑人的不止这一款[doge],1
东北小乔,保密,吉林,本来可以单做一期遥遥领先，但是怕帐号消失，强行拉了一部运营商免费赠送机来保命，可以理解[滑稽],115
青雨人文泪,男,山西,随你怎么说，反正我支持华为,3
Sonic七水,保密,吉林,像nova11se上面这些东西，到底是存货还是新生产的[思考],4
猫砸-,保密,广东,天玑810是什么啊？我好像是这个，厉害吗？,1
58FPS,保密,河北,用k70e这个视频就没了,1
秋青麈,保密,江苏,我刚刚花了五百多买了一部红米12R,8
